,S_No,State_Name,District_Name,Season,Irrigation,pH,Moisture,Soil_Temp,Climate,Crop_Name,Area,Production,UREA,DAP,MAP,MOP,NPK,TSP,Labour_hours
635,635,Punjab,FATEHGARH SAHIB,Rabi       ,medium,6,80,25,Temperate,Wheat,85000,379000,0.19,1,1,0.46,1,1,183.6
642,642,Punjab,FATEHGARH SAHIB,Rabi       ,medium,6,80,25,Temperate,Wheat,85000,367000,0.19,1,1,0.46,1,1,183.6
650,650,Punjab,FATEHGARH SAHIB,Rabi       ,medium,6,80,25,Temperate,Wheat,85000,417000,0.19,1,1,0.46,1,1,183.6
655,655,Punjab,FATEHGARH SAHIB,Rabi       ,medium,6,80,25,Temperate,Wheat,84000,369000,0.19,1,1,0.46,1,1,183.6
661,661,Punjab,FATEHGARH SAHIB,Rabi       ,medium,6,80,25,Temperate,Wheat,85000,348000,0.19,1,1,0.46,1,1,183.6
665,665,Punjab,FATEHGARH SAHIB,Rabi       ,medium,6,80,25,Temperate,Wheat,85000,429000,0.19,1,1,0.46,1,1,183.6
670,670,Punjab,FATEHGARH SAHIB,Rabi       ,medium,6,80,25,Temperate,Wheat,85000,376000,0.19,1,1,0.46,1,1,183.6
675,675,Punjab,FATEHGARH SAHIB,Rabi       ,medium,6,80,25,Temperate,Wheat,85000,419000,0.19,1,1,0.46,1,1,183.6
678,678,Punjab,FATEHGARH SAHIB,Rabi       ,medium,6,80,25,Temperate,Wheat,85000,417000,0.19,1,1,0.46,1,1,183.6
680,680,Punjab,FATEHGARH SAHIB,Rabi       ,medium,6,80,25,Temperate,Wheat,85000,449000,0.19,1,1,0.46,1,1,183.6
686,686,Punjab,FATEHGARH SAHIB,Rabi       ,medium,6,80,25,Temperate,Wheat,85000,440000,0.19,1,1,0.46,1,1,183.6
692,692,Punjab,FATEHGARH SAHIB,Rabi       ,medium,6,80,25,Temperate,Wheat,84000,427000,0.19,1,1,0.46,1,1,183.6
698,698,Punjab,FATEHGARH SAHIB,Rabi       ,medium,6,80,25,Temperate,Wheat,84000,340000,0.19,1,1,0.46,1,1,183.6
708,708,Punjab,FAZILKA,Rabi       ,medium,6,80,25,Hot-dry,Wheat,208000,972000,0.19,1,1,0.46,1,1,183.6
717,717,Punjab,FAZILKA,Rabi       ,medium,6,80,25,Hot-dry,Wheat,211000,1039000,0.19,1,1,0.46,1,1,183.6
724,724,Punjab,FAZILKA,Rabi       ,medium,6,80,25,Hot-dry,Wheat,206000,913000,0.19,1,1,0.46,1,1,183.6
731,731,Punjab,FIROZEPUR,Rabi       ,medium,6,80,25,Hot-dry,Wheat,422000,1677000,0.19,1,1,0.46,1,1,183.6
742,742,Punjab,FIROZEPUR,Rabi       ,medium,6,80,25,Hot-dry,Wheat,354000,1567000,0.19,1,1,0.46,1,1,183.6
