,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
90,"frozenset({'(30000, 2250000]_y'})","frozenset({'(-1, 100]_a', '(500, 800]_r', '(300, 500]_l'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
91,"frozenset({'(-1, 100]_a'})","frozenset({'(30000, 2250000]_y', '(500, 800]_r', '(300, 500]_l'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
92,"frozenset({'(500, 800]_r'})","frozenset({'(30000, 2250000]_y', '(-1, 100]_a', '(300, 500]_l'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
93,"frozenset({'(300, 500]_l'})","frozenset({'(30000, 2250000]_y', '(-1, 100]_a', '(500, 800]_r'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
94,"frozenset({'(-1, 100]_a', '(500, 800]_r', '(300, 500]_l'})","frozenset({'(0.6, 0.8]_fert'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
95,"frozenset({'(-1, 100]_a', '(500, 800]_r', '(0.6, 0.8]_fert'})","frozenset({'(300, 500]_l'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
96,"frozenset({'(-1, 100]_a', '(300, 500]_l', '(0.6, 0.8]_fert'})","frozenset({'(500, 800]_r'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
97,"frozenset({'(500, 800]_r', '(300, 500]_l', '(0.6, 0.8]_fert'})","frozenset({'(-1, 100]_a'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
98,"frozenset({'(-1, 100]_a', '(500, 800]_r'})","frozenset({'(300, 500]_l', '(0.6, 0.8]_fert'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
99,"frozenset({'(-1, 100]_a', '(300, 500]_l'})","frozenset({'(500, 800]_r', '(0.6, 0.8]_fert'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
100,"frozenset({'(-1, 100]_a', '(0.6, 0.8]_fert'})","frozenset({'(500, 800]_r', '(300, 500]_l'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
101,"frozenset({'(500, 800]_r', '(300, 500]_l'})","frozenset({'(-1, 100]_a', '(0.6, 0.8]_fert'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
102,"frozenset({'(500, 800]_r', '(0.6, 0.8]_fert'})","frozenset({'(-1, 100]_a', '(300, 500]_l'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
