,S_No,State_Name,District_Name,Season,Irrigation,pH,Moisture,Soil_Temp,Climate,Crop_Name,Area,Production,UREA,DAP,MAP,MOP,NPK,TSP,Labour_hours
639,639,Punjab,FATEHGARH SAHIB,Kharif     ,high,6,60,4,Temperate,Rice,83000,364000,0.19,1,1,0.46,1,1,419.7
646,646,Punjab,FATEHGARH SAHIB,Kharif     ,high,6,60,4,Temperate,Rice,85000,371000,0.19,1,1,0.46,1,1,419.7
653,653,Punjab,FATEHGARH SAHIB,Kharif     ,high,6,60,4,Temperate,Rice,85000,361000,0.19,1,1,0.46,1,1,419.7
659,659,Punjab,FATEHGARH SAHIB,Kharif     ,high,6,60,4,Temperate,Rice,84000,340000,0.19,1,1,0.46,1,1,419.7
663,663,Punjab,FATEHGARH SAHIB,Kharif     ,high,6,60,4,Temperate,Rice,84000,383000,0.19,1,1,0.46,1,1,419.7
669,669,Punjab,FATEHGARH SAHIB,Kharif     ,high,6,60,4,Temperate,Rice,85000,363000,0.19,1,1,0.46,1,1,419.7
674,674,Punjab,FATEHGARH SAHIB,Kharif     ,high,6,60,4,Temperate,Rice,86000,391000,0.19,1,1,0.46,1,1,419.7
677,677,Punjab,FATEHGARH SAHIB,Kharif     ,high,6,60,4,Temperate,Rice,87000,366000,0.19,1,1,0.46,1,1,419.7
679,679,Punjab,FATEHGARH SAHIB,Kharif     ,high,6,60,4,Temperate,Rice,86000,364000,0.19,1,1,0.46,1,1,419.7
683,683,Punjab,FATEHGARH SAHIB,Kharif     ,high,6,60,4,Temperate,Rice,86000,384000,0.19,1,1,0.46,1,1,419.7
690,690,Punjab,FATEHGARH SAHIB,Kharif     ,high,6,60,4,Temperate,Rice,86000,351000,0.19,1,1,0.46,1,1,419.7
695,695,Punjab,FATEHGARH SAHIB,Kharif     ,high,6,60,4,Temperate,Rice,86000,374000,0.19,1,1,0.46,1,1,419.7
704,704,Punjab,FAZILKA,Kharif     ,high,6,60,4,Hot-dry,Rice,85000,291000,0.19,1,1,0.46,1,1,419.7
713,713,Punjab,FAZILKA,Kharif     ,high,6,60,4,Hot-dry,Rice,92000,293000,0.19,1,1,0.46,1,1,419.7
720,720,Punjab,FAZILKA,Kharif     ,high,6,60,4,Hot-dry,Rice,97000,297000,0.19,1,1,0.46,1,1,419.7
726,726,Punjab,FIROZEPUR,Kharif     ,high,6,60,4,Hot-dry,Rice,252000,910000,0.19,1,1,0.46,1,1,419.7
738,738,Punjab,FIROZEPUR,Kharif     ,high,6,60,4,Hot-dry,Rice,275000,922000,0.19,1,1,0.46,1,1,419.7
748,748,Punjab,FIROZEPUR,Kharif     ,high,6,60,4,Hot-dry,Rice,280000,982000,0.19,1,1,0.46,1,1,419.7
758,758,Punjab,FIROZEPUR,Kharif     ,high,6,60,4,Hot-dry,Rice,248000,898000,0.19,1,1,0.46,1,1,419.7
768,768,Punjab,FIROZEPUR,Kharif     ,high,6,60,4,Hot-dry,Rice,230000,864000,0.19,1,1,0.46,1,1,419.7
780,780,Punjab,FIROZEPUR,Kharif     ,high,6,60,4,Hot-dry,Rice,234000,824000,0.19,1,1,0.46,1,1,419.7
793,793,Punjab,FIROZEPUR,Kharif     ,high,6,60,4,Hot-dry,Rice,244000,903000,0.19,1,1,0.46,1,1,419.7
806,806,Punjab,FIROZEPUR,Kharif     ,high,6,60,4,Hot-dry,Rice,238000,941000,0.19,1,1,0.46,1,1,419.7
819,819,Punjab,FIROZEPUR,Kharif     ,high,6,60,4,Hot-dry,Rice,236000,956000,0.19,1,1,0.46,1,1,419.7
832,832,Punjab,FIROZEPUR,Kharif     ,high,6,60,4,Hot-dry,Rice,235000,948000,0.19,1,1,0.46,1,1,419.7
845,845,Punjab,FIROZEPUR,Kharif     ,high,6,60,4,Hot-dry,Rice,243000,1010000,0.19,1,1,0.46,1,1,419.7
856,856,Punjab,FIROZEPUR,Kharif     ,high,6,60,4,Hot-dry,Rice,260000,1051000,0.19,1,1,0.46,1,1,419.7
868,868,Punjab,FIROZEPUR,Kharif     ,high,6,60,4,Hot-dry,Rice,262000,964000,0.19,1,1,0.46,1,1,419.7
878,878,Punjab,FIROZEPUR,Kharif     ,high,6,60,4,Hot-dry,Rice,258000,954000,0.19,1,1,0.46,1,1,419.7
887,887,Punjab,FIROZEPUR,Kharif     ,high,6,60,4,Hot-dry,Rice,257000,889000,0.19,1,1,0.46,1,1,419.7
897,897,Punjab,FIROZEPUR,Kharif     ,high,6,60,4,Hot-dry,Rice,182000,766000,0.19,1,1,0.46,1,1,419.7
905,905,Punjab,FIROZEPUR,Kharif     ,high,6,60,4,Hot-dry,Rice,183000,766000,0.19,1,1,0.46,1,1,419.7
912,912,Punjab,FIROZEPUR,Kharif     ,high,6,60,4,Hot-dry,Rice,189000,733000,0.19,1,1,0.46,1,1,419.7
919,919,Punjab,GURDASPUR,Kharif     ,high,6,60,4,Temperate,Rice,181000,509000,0.19,1,1,0.46,1,1,419.7
