Area,Production,UREA,DAP,MAP,MOP,NPK,TSP,Labour_hours,Rainfall,Yield
7139,548044,1,0.6,1,1,1,1,1602.5,1094,76767.61451
4028,287640,1,0.6,1,1,1,1,1602.5,1094,71410.1291
3176,180905,1,0.6,1,1,1,1,1602.5,1094,56960.01259
7862,548950,1,0.6,1,1,1,1,1602.5,1094,69823.2002
6235,491606,1,0.6,1,1,1,1,1602.5,1094,78846.19086
5682,395814,1,0.6,1,1,1,1,1602.5,1094,69661.03485
6378,435708,1,0.6,1,1,1,1,1602.5,1094,68314.20508
40400,1637200,1,0.6,1,1,1,1,1602.5,1094,40524.75248
42300,1844300,1,0.6,1,1,1,1,1602.5,1094,43600.47281
42490,2352119,1,0.6,1,1,1,1,1602.5,1094,55357.00165
42621,2589914,1,0.6,1,1,1,1,1602.5,1094,60766.14814
36135,2167594,1,0.6,1,1,1,1,1602.5,1094,59985.99696
44085,1588904,1,0.6,1,1,1,1,1602.5,1094,36041.82829
38962,1984023,1,0.6,1,1,1,1,1602.5,1094,50922.00092
41522,2119283,1,0.6,1,1,1,1,1602.5,1094,51040.00289
41535,2043854,1,0.6,1,1,1,1,1602.5,1094,49207.99326
42589,2491286,1,0.6,1,1,1,1,1602.5,1094,58495.99662
41000,2554000,1,0.6,1,1,1,1,1602.5,1094,62292.68293
38998,2201279,1,0.6,1,1,1,1,1602.5,1094,56445.94595
40038,1845668,1,0.6,1,1,1,1,1602.5,1094,46097.90699
38819,2221674,1,0.6,1,1,1,1,1602.5,1094,57231.61339
37862,2152876,1,0.6,1,1,1,1,1602.5,1094,56861.12725
37322,2071560,1,0.6,1,1,1,1,1602.5,1094,55505.06404
37603,2103656,1,0.6,1,1,1,1,1602.5,1094,55943.83427
37535,1814054,1,0.6,1,1,1,1,1602.5,1094,48329.66565
10000,601100,1,0.6,1,1,1,1,1602.5,1094,60110
11600,720800,1,0.6,1,1,1,1,1602.5,1094,62137.93103
11231,793278,1,0.6,1,1,1,1,1602.5,1094,70632.8911
10184,750054,1,0.6,1,1,1,1,1602.5,1094,73650.23566
