Area,Production,UREA,DAP,MAP,MOP,NPK,TSP,Labour_hours,Rainfall,Yield
1000,4000,0.19,1,1,0.46,1,1,745.3,649,4000
1000,4000,0.19,1,1,0.46,1,1,745.3,649,4000
1000,4000,0.19,1,1,0.46,1,1,745.3,649,4000
1000,3000,0.19,1,1,0.46,1,1,745.3,649,3000
1000,3000,0.19,1,1,0.46,1,1,745.3,649,3000
7300,9400,1,0.6,1,1,1,1,833.3,1094,1287.671233
14000,12900,1,0.6,1,1,1,1,833.3,1094,921.4285714
9453,10510,1,0.6,1,1,1,1,833.3,1094,1111.816355
12025,16128,1,0.6,1,1,1,1,833.3,1094,1341.205821
8552,9055,1,0.6,1,1,1,1,833.3,1094,1058.816651
7638,7144,1,0.6,1,1,1,1,833.3,1094,935.3233831
4212,4262,1,0.6,1,1,1,1,833.3,1094,1011.870845
8933,7041,1,0.6,1,1,1,1,833.3,1094,788.2010523
3295,3450,1,0.6,1,1,1,1,833.3,1094,1047.040971
1506,1940,1,0.6,1,1,1,1,833.3,1094,1288.180611
3000,2000,1,0.6,1,1,1,1,833.3,1094,666.6666667
1611,1241,1,0.6,1,1,1,1,833.3,1094,770.3289882
2063,1226,1,0.6,1,1,1,1,833.3,1094,594.2801745
4338,2977,1,0.6,1,1,1,1,833.3,1094,686.2609497
19299,12069,1,0.6,1,1,1,1,833.3,1094,625.3691901
27566,35511,1,0.6,1,1,1,1,833.3,1094,1288.217369
77,99,1,0.6,1,1,1,1,833.3,1094,1285.714286
37661,77316,1,0.6,1,1,1,1,833.3,1094,2052.946018
62,127,1,0.6,1,1,1,1,833.3,1094,2048.387097
73734,103779,1,0.6,1,1,1,1,833.3,1094,1407.478233
884,1244,1,0.6,1,1,1,1,833.3,1094,1407.239819
2,2,1,0.6,1,1,1,1,833.3,1094,1000
19,25,1,0.6,1,1,1,1,833.3,1094,1315.789474
2,2,1,0.6,1,1,1,1,833.3,1094,1000
4,4,1,0.6,1,1,1,1,833.3,1094,1000
24,37,1,0.6,1,1,1,1,833.3,1094,1541.666667
66,94,1,0.6,1,1,1,1,833.3,1094,1424.242424
235,98,1,0.6,1,1,1,1,833.3,1094,417.0212766
400,65,1,0.6,1,1,1,1,833.3,1094,162.5
317,405,1,0.6,1,1,1,1,833.3,1094,1277.602524
226,288,1,0.6,1,1,1,1,833.3,1094,1274.336283
157,391,1,0.6,1,1,1,1,833.3,1094,2490.44586
194,483,1,0.6,1,1,1,1,833.3,1094,2489.690722
308,723,1,0.6,1,1,1,1,833.3,1094,2347.402597
545,1278,1,0.6,1,1,1,1,833.3,1094,2344.954128
9800,23400,1,0.6,1,1,1,1,833.3,1094,2387.755102
7900,6300,1,0.6,1,1,1,1,833.3,1094,797.4683544
4410,7289,1,0.6,1,1,1,1,833.3,1094,1652.834467
5580,10536,1,0.6,1,1,1,1,833.3,1094,1888.172043
6289,16425,1,0.6,1,1,1,1,833.3,1094,2611.702973
4555,8092,1,0.6,1,1,1,1,833.3,1094,1776.50933
8969,26696,1,0.6,1,1,1,1,833.3,1094,2976.474523
16022,45616,1,0.6,1,1,1,1,833.3,1094,2847.085258
13939,10167,1,0.6,1,1,1,1,833.3,1094,729.3923524
9034,19397,1,0.6,1,1,1,1,833.3,1094,2147.110914
8000,18000,1,0.6,1,1,1,1,833.3,1094,2250
7432,14165,1,0.6,1,1,1,1,833.3,1094,1905.947255
6845,19649,1,0.6,1,1,1,1,833.3,1094,2870.562454
12112,21517,1,0.6,1,1,1,1,833.3,1094,1776.502642
13150,19880,1,0.6,1,1,1,1,833.3,1094,1511.787072
16845,32501,1,0.6,1,1,1,1,833.3,1094,1929.415257
21781,24728,1,0.6,1,1,1,1,833.3,1094,1135.301409
22433,47597,1,0.6,1,1,1,1,833.3,1094,2121.740293
162300,432500,1,0.6,1,1,1,1,833.3,1094,2664.818238
193600,120700,1,0.6,1,1,1,1,833.3,1094,623.4504132
139425,252605,1,0.6,1,1,1,1,833.3,1094,1811.762596
125251,252712,1,0.6,1,1,1,1,833.3,1094,2017.64457
126285,378112,1,0.6,1,1,1,1,833.3,1094,2994.116483
98628,186813,1,0.6,1,1,1,1,833.3,1094,1894.117289
138925,485420,1,0.6,1,1,1,1,833.3,1094,3494.11553
177868,593242,1,0.6,1,1,1,1,833.3,1094,3335.293589
152978,462533,1,0.6,1,1,1,1,833.3,1094,3023.526259
132550,468603,1,0.6,1,1,1,1,833.3,1094,3535.292343
150000,689000,1,0.6,1,1,1,1,833.3,1094,4593.333333
166289,643636,1,0.6,1,1,1,1,833.3,1094,3870.58675
151490,524868,1,0.6,1,1,1,1,833.3,1094,3464.703941
170158,402203,1,0.6,1,1,1,1,833.3,1094,2363.703146
162714,346485,1,0.6,1,1,1,1,833.3,1094,2129.411114
187397,708802,1,0.6,1,1,1,1,833.3,1094,3782.355107
193207,752371,1,0.6,1,1,1,1,833.3,1094,3894.118743
206374,1075856,1,0.6,1,1,1,1,833.3,1094,5213.137314
22,115,1,0.6,1,1,1,1,833.3,1094,5227.272727
